 Vol  , Cur  ,  X1  ,  Y1  ,  Z1  ,  X2  ,  Y2  ,  Z2  ,  X3  ,  Y3  ,  Z3  ,  X4  ,  Y4  ,  Z4  
4.9612,0.5181,-0.9766,0.1172,0.4297,0.9375,-0.2344,0.3125,0.1562,0.8984,-0.1562,0.0391,0.8594,-0.5078
4.9612,0.5132,-0.9766,0.1172,0.4297,0.9375,-0.2344,0.3125,0.1172,0.8984,-0.1562,0.0000,0.8594,-0.5078
4.9612,0.5132,-0.9766,0.1172,0.4297,0.9375,-0.2344,0.3125,0.1172,0.8984,-0.1562,0.0000,0.8594,-0.5078
4.9612,0.6500,-0.9766,0.1953,0.4297,0.9375,-0.2344,0.3125,0.1172,0.8984,-0.1562,0.0391,0.8594,-0.5078
5.0702,0.5327,-1.0156,0.0781,0.4297,0.8984,-0.2734,0.2734,0.0781,0.8594,-0.1953,-0.0391,0.8203,-0.5469
4.9612,0.5181,-0.9766,0.1172,0.3906,0.8984,-0.2344,0.2734,0.1172,0.8984,-0.1953,0.0000,0.8594,-0.5078
4.9612,0.5181,-0.9766,0.1172,0.3906,0.9375,-0.2344,0.3125,0.1172,0.8984,-0.1562,0.0000,0.8594,-0.5078
4.9612,0.5181,-0.9766,0.1172,0.3906,0.9375,-0.2344,0.3125,0.1172,0.8984,-0.1562,0.0000,0.8594,-0.5078
4.9612,0.5181,-0.9766,0.1172,0.4297,0.9375,-0.2344,0.3125,0.1172,0.8984,-0.1562,0.0000,0.8594,-0.5078
4.9612,0.5230,-0.9766,0.1172,0.3906,0.9375,-0.2344,0.2734,0.1172,0.8984,-0.1953,0.0000,0.8594,-0.5078
4.9067,0.6256,-0.9375,0.1562,0.4297,0.9375,-0.2344,0.3125,0.1172,0.8984,-0.1562,0.0391,0.8984,-0.4688
4.9067,0.6256,-0.9375,0.1172,0.4297,0.9375,-0.2344,0.2734,0.1172,0.8594,-0.1953,0.0000,0.8203,-0.5469
4.9067,0.6452,-0.9375,0.1172,0.4297,0.9375,-0.2344,0.2734,0.1172,0.8984,-0.1562,0.0000,0.8594,-0.5078
4.7976,0.6598,-0.9375,0.1562,0.4297,0.9766,-0.2344,0.3125,0.1172,0.8984,-0.1953,0.0000,0.8594,-0.5469
4.7431,0.6696,-0.9375,0.1562,0.4688,0.9766,-0.1953,0.3125,0.1172,0.8594,-0.1953,0.0000,0.8203,-0.5078
4.8521,0.6500,-0.9375,0.1953,0.4688,0.9766,-0.1953,0.2734,0.1172,0.8594,-0.1953,0.0000,0.8594,-0.5078
4.8521,0.6452,-0.9375,0.1562,0.4688,0.9766,-0.1953,0.3125,0.1562,0.8984,-0.1562,0.0000,0.8594,-0.5078
4.9067,0.6696,-0.9375,0.1172,0.4297,0.8984,-0.2344,0.2734,0.1172,0.8594,-0.1562,0.0391,0.8594,-0.5078
5.0157,0.6158,-0.9766,0.1172,0.4297,0.9375,-0.2344,0.3125,0.1562,0.8984,-0.1172,0.0391,0.8984,-0.5078
4.9612,0.6109,-0.9766,0.1562,0.4688,0.9375,-0.2344,0.3125,0.1562,0.8984,-0.1562,0.0391,0.8984,-0.5078
4.9612,0.6061,-0.9766,0.1562,0.4297,0.9375,-0.2344,0.3125,0.1562,0.9375,-0.1172,0.0391,0.8984,-0.5078
4.9067,0.6158,-0.9766,0.1562,0.4297,0.9766,-0.2344,0.3125,0.1562,0.8984,-0.1562,0.0391,0.8984,-0.4688
5.0702,0.6109,-0.9766,0.1172,0.4297,0.9766,-0.2344,0.3125,0.1562,0.9375,-0.1172,0.0391,0.8984,-0.5078
4.9067,0.6256,-0.9766,0.1172,0.4688,0.9375,-0.1953,0.3125,0.1562,0.9375,-0.1172,0.0781,0.8984,-0.4688
4.8521,0.7380,-0.8594,0.2344,0.5078,0.9375,-0.1953,0.3125,0.1172,0.8594,-0.1953,0.0000,0.8594,-0.5078
5.0157,0.6256,-0.9766,0.1172,0.4297,0.9375,-0.2344,0.3125,0.1562,0.8984,-0.1562,0.0391,0.8594,-0.5078
4.9067,0.6012,-0.9766,0.1172,0.4297,0.9375,-0.2344,0.3125,0.1562,0.8984,-0.1562,0.0391,0.8984,-0.4688
4.9067,0.6354,-0.9766,0.1172,0.4297,0.9375,-0.2344,0.3125,0.1562,0.9375,-0.1562,0.0391,0.8984,-0.5078
5.0157,0.6012,-0.9766,0.1172,0.4297,0.9375,-0.2344,0.3125,0.1562,0.8984,-0.1172,0.0391,0.8984,-0.4688
5.0157,0.6647,-0.9375,0.1172,0.4297,0.9375,-0.2344,0.3125,0.1562,0.8984,-0.1562,0.0391,0.8984,-0.5078
4.9612,0.6012,-0.9766,0.1562,0.4297,0.9375,-0.2344,0.3125,0.1562,0.8984,-0.1172,0.0391,0.8984,-0.5078
4.9067,0.6354,-0.9375,0.1953,0.5469,1.0156,-0.1953,0.3516,0.2344,0.9375,-0.1562,0.0391,0.8984,-0.5078
5.0157,0.5230,-0.9766,0.1172,0.4297,0.8984,-0.2344,0.2734,0.1562,0.8984,-0.1562,0.0000,0.8594,-0.5078
