 Vol  , Cur  ,  X1  ,  Y1  ,  Z1  ,  X2  ,  Y2  ,  Z2  ,  X3  ,  Y3  ,  Z3  ,  X4  ,  Y4  ,  Z4  
8.5594,0.5816,-0.3516,0.9375,0.0781,0.5859,0.7813,0.0391,-0.1562,0.8594,-0.0781,-0.1953,0.9766,-0.2344
2.3443,0.9922,-0.3906,0.8594,0.0391,0.5469,0.7422,0.0000,-0.1953,0.8203,-0.0781,-0.1953,0.9766,-0.2344
0.8723,1.0362,-0.4297,0.8594,0.0391,0.5469,0.7422,0.0000,-0.1953,0.8203,-0.1172,-0.2344,0.9375,-0.2344
0.5452,0.0293,-0.3906,0.8594,0.0391,0.5078,0.7422,0.0000,-0.1953,0.8203,-0.1172,-0.2344,0.9375,-0.2344
0.8723,0.2933,-0.3906,0.8594,0.0391,0.5078,0.7422,0.0391,-0.1562,0.8594,-0.0781,-0.1953,1.0156,-0.1562
13.7932,0.0000,-0.4688,0.7813,-0.0391,0.4297,0.6250,-0.0781,-0.2734,0.7422,-0.1562,-0.3125,0.8594,-0.3125
12.1031,0.3372,-0.3906,0.8594,0.0391,0.5469,0.7422,0.0000,-0.1953,0.8594,-0.0781,-0.2344,0.9766,-0.1562
12.1576,0.1906,-0.3906,0.8984,0.0391,0.5469,0.7813,0.0000,-0.1953,0.8594,-0.0781,-0.2344,0.9766,-0.2344
12.2122,0.1417,-0.3906,0.8984,0.0781,0.5469,0.7813,0.0000,-0.1953,0.8594,-0.0781,-0.2344,0.9766,-0.2344
12.2667,0.1369,-0.3906,0.8984,0.0781,0.5859,0.7813,0.0000,-0.1953,0.8594,-0.0781,-0.1953,0.9766,-0.2344
12.3757,0.1515,-0.3906,0.8984,0.0391,0.5469,0.7813,0.0000,-0.1953,0.8594,-0.0781,-0.2344,0.9766,-0.2344
0.9813,0.3030,-0.2344,1.1719,0.3516,0.8594,0.9766,0.2734,-0.0391,0.9375,-0.0391,-0.1172,1.0547,-0.1562
13.5751,0.2444,-0.3906,0.8984,0.0781,0.5469,0.7031,-0.0391,-0.2344,0.7813,-0.1562,-0.2734,0.8984,-0.2734
13.0299,0.9775,-0.3906,0.8594,0.0391,0.5469,0.7813,0.0000,-0.1953,0.8203,-0.1172,-0.2344,0.9375,-0.2344
12.8119,0.8749,-0.3906,0.8984,0.0781,0.5859,0.8203,0.0391,-0.1953,0.8203,-0.1172,-0.2344,0.9766,-0.2344
12.5393,0.6745,-0.4297,0.8594,0.0391,0.5469,0.7422,0.0000,-0.1953,0.8203,-0.1172,-0.2344,0.9375,-0.2344
