 Vol  , Cur  ,  X1  ,  Y1  ,  Z1  ,  X2  ,  Y2  ,  Z2  ,  X3  ,  Y3  ,  Z3  ,  X4  ,  Y4  ,  Z4  
3.3256,0.3128,-1.6797,-0.0781,-1.4063,-0.0781,0.1172,-1.2500,-0.0781,0.8984,-0.0781,-0.1953,1.0156,-0.1562
12.8119,1.0068,-1.6797,-0.0781,-1.5234,-0.1172,0.0781,-1.3672,-0.0781,0.8984,-0.0781,-0.1562,1.0937,-0.0781
11.5579,0.2004,-1.7188,-0.1172,-1.5625,-0.1172,-0.0391,-1.5625,-0.1562,0.8203,-0.1562,-0.2344,0.9375,-0.1953
11.5034,0.1857,-1.6016,-0.0781,-1.6016,-0.0391,0.0000,-1.6797,-0.1172,0.8594,-0.1172,-0.2344,0.9766,-0.1953
11.7760,0.2639,-1.5234,0.0000,-1.5234,0.0781,0.0000,-1.7969,-0.1172,0.8594,-0.1172,-0.2344,0.9766,-0.1953
11.5034,0.1564,-1.4063,0.0391,-1.4453,0.2344,0.0000,-1.8750,-0.1172,0.8594,-0.1172,-0.2344,0.9766,-0.1953
11.7760,0.2053,-1.3281,0.0391,-1.3672,0.3516,-0.0391,-1.9531,-0.1172,0.8594,-0.1172,-0.2344,0.9766,-0.1953
12.3212,0.3324,-1.2500,0.0391,-1.2891,0.5078,-0.1172,-1.9922,-0.1172,0.8594,-0.1562,-0.2344,0.9766,-0.1953
12.5938,0.8895,-1.0937,0.1172,-1.1719,0.7422,-0.1172,-1.9531,-0.0391,0.9766,-0.0391,-0.0781,1.1328,-0.0391
12.6483,0.7722,-1.0547,0.0781,-1.0156,0.8984,-0.2734,-1.9531,-0.1172,0.8594,-0.1172,-0.1953,0.9375,-0.1953
12.2667,0.8602,-0.8984,0.0391,-1.0156,0.9766,-0.3125,-1.9141,-0.1562,0.8594,-0.1562,-0.2344,0.9766,-0.1953
12.5938,0.9335,-0.8594,0.0000,-0.9375,0.9766,-0.3906,-1.8750,-0.1562,0.8594,-0.1562,-0.2344,0.9766,-0.1953
11.9396,0.6452,-0.8594,-0.0391,-0.8594,0.9375,-0.3906,-1.9141,-0.1562,0.8984,-0.1172,-0.2344,0.9766,-0.1953
12.4847,0.9531,-0.8594,-0.0391,-0.7813,0.8984,-0.3906,-1.8750,-0.1562,0.8594,-0.1562,-0.2344,0.9766,-0.1953
12.1576,0.7087,-0.8594,-0.0391,-0.7422,0.8984,-0.4297,-1.7969,-0.1172,0.8594,-0.1562,-0.2344,1.0937,-0.1562
12.0486,0.4545,-0.8203,-0.0391,-0.7031,0.8984,-0.4688,-1.7969,-0.1172,0.8984,-0.1172,-0.1953,1.0547,-0.1562
13.4661,0.4203,-0.7813,0.0000,-0.6250,0.8594,-0.4688,-1.7578,-0.1172,0.8984,-0.1172,-0.1953,1.0547,-0.1562
11.3399,0.2493,-0.8594,-0.0391,-0.6250,0.7813,-0.4297,-1.7969,-0.1562,0.8594,-0.1562,-0.1953,1.0547,-0.1953
11.9941,0.4594,-0.7813,0.0781,-0.4297,0.8203,-0.3125,-1.7188,-0.1172,0.9375,-0.0781,-0.1562,1.0547,-0.1562
13.1390,1.1584,-0.7031,0.0781,-0.3125,0.7422,-0.2344,-1.7188,-0.0781,0.9375,-0.0781,-0.1172,1.0937,-0.1172
13.0844,1.0753,-0.7031,0.1172,-0.1562,0.5469,-0.3516,-1.7969,-0.1172,0.8984,-0.1172,-0.1562,1.0547,-0.1172
12.4847,0.7918,-0.6641,0.0781,-0.1562,0.4688,-0.3125,-1.8359,-0.1172,0.9375,-0.0781,-0.1562,1.0937,-0.1172
12.2122,0.5279,-0.6250,0.0781,-0.1172,0.4688,-0.3516,-1.8750,-0.0781,0.9375,-0.0781,-0.1172,1.0937,-0.0781
13.4661,1.1095,-0.5078,0.0391,-0.0781,0.5469,-0.3516,-1.8750,-0.0391,0.9375,-0.0781,-0.1172,1.0937,-0.0391
12.5938,1.0704,-0.4688,-0.0391,-0.1172,0.5859,-0.4297,-1.9141,-0.1562,0.8594,-0.1562,-0.2344,0.9766,-0.1953
11.9396,0.5523,-0.5078,-0.0781,-0.1172,0.6641,-0.4688,-1.9141,-0.1172,0.8984,-0.1172,-0.1562,1.0547,-0.1172
13.0844,0.9824,-0.3906,-0.0781,-0.0391,0.8203,-0.4688,-1.8359,-0.1172,0.9375,-0.0781,-0.1172,1.0937,-0.0781
12.2667,0.5621,-0.4688,-0.0781,0.0000,0.7422,-0.5078,-1.7969,-0.0781,0.8984,-0.1172,-0.1562,1.0156,-0.1562
12.3757,0.5963,-0.4688,-0.0781,0.0781,0.7422,-0.4688,-1.7969,-0.0781,0.9375,-0.0781,-0.1172,1.0937,-0.1172
11.7215,0.1808,-0.5078,-0.1172,0.0781,0.7031,-0.5078,-1.7578,-0.1172,0.8984,-0.1172,-0.1953,1.0156,-0.1562
0.2726,0.5718,-0.3516,0.0000,0.1953,0.7422,-0.3906,-1.6797,0.0000,0.9766,-0.0781,-0.1172,1.0547,-0.1172
11.9941,0.7674,-0.4688,-0.0391,0.1562,0.6250,-0.4297,-1.7969,-0.1562,0.8203,-0.1562,-0.2344,0.9375,-0.1953
11.5034,0.1515,-0.3516,0.0391,0.1172,0.5859,-0.3516,-1.8359,-0.1172,0.8594,-0.1562,-0.1953,1.0156,-0.1562
11.7215,0.1369,-0.3516,0.1172,0.1562,0.5859,-0.3516,-1.7969,-0.1172,0.8594,-0.1562,-0.1953,1.0156,-0.1562
11.9941,0.1955,-0.2734,0.1562,0.1953,0.5078,-0.2344,-1.7188,-0.1172,0.8594,-0.1562,-0.1953,1.0156,-0.1562
11.9941,0.1662,-0.1953,0.1953,0.1953,0.4688,-0.2344,-1.7188,-0.1172,0.8594,-0.1562,-0.1953,1.0156,-0.1562
11.9941,0.1320,-0.0781,0.1562,0.2734,0.6641,-0.1953,-1.7578,-0.1172,0.8594,-0.1562,-0.1953,1.0156,-0.1562
0.1090,1.1877,0.0391,0.2344,0.3516,0.7422,-0.1172,-1.6797,-0.0781,0.8984,-0.1172,-0.1172,1.1328,-0.0781
11.6670,0.2493,0.0391,0.0781,0.2734,0.5859,-0.2344,-1.6797,-0.1562,0.8203,-0.1953,-0.2344,0.9766,-0.1953
12.3757,0.5474,0.1172,0.2734,0.3125,0.6641,-0.2344,-1.5625,-0.0781,0.9766,-0.0781,-0.1172,1.0937,-0.0781
11.8305,0.1760,0.1953,0.2344,0.3906,0.6641,-0.2344,-1.5625,-0.1172,0.8594,-0.1562,-0.1953,0.9766,-0.1953
12.4847,0.2639,0.2734,0.3516,0.3906,0.6641,-0.1953,-1.4844,-0.1172,0.8594,-0.1562,-0.1953,0.9766,-0.1562
11.9941,0.1613,0.4297,0.3516,0.4297,0.7031,-0.2344,-1.4453,-0.1172,0.8594,-0.1172,-0.1953,1.0156,-0.1562
12.2122,0.1906,0.4688,0.3125,0.4688,0.7422,-0.2344,-1.4063,-0.1172,0.8594,-0.1562,-0.1953,0.9766,-0.1562
0.3816,0.2786,0.6641,0.3906,0.7031,0.9375,0.0000,-1.3281,-0.0391,0.9375,-0.1172,-0.1172,1.0937,-0.1172
11.7215,0.1662,0.5469,0.2734,0.4688,0.7031,-0.1953,-1.4063,-0.1562,0.8203,-0.1562,-0.1953,0.9766,-0.1953
11.8305,0.1906,0.5859,0.3516,0.5078,0.7422,-0.1562,-1.3672,-0.1172,0.8594,-0.1562,-0.1953,0.9766,-0.1953
12.2667,0.2053,0.6250,0.3516,0.5078,0.7422,-0.1562,-1.3281,-0.0781,0.8984,-0.1172,-0.1953,1.0156,-0.1562
11.9941,0.1466,0.7031,0.2344,0.5469,0.7813,-0.1562,-1.3281,-0.1172,0.8984,-0.1172,-0.1953,1.0156,-0.1562
12.1031,0.2151,0.5859,0.2734,0.5469,0.9375,-0.1562,-1.3281,-0.1172,0.8594,-0.1172,-0.1953,1.0156,-0.1562
12.1031,0.1711,0.5859,0.3125,0.5078,0.9766,-0.2734,-1.3281,-0.1172,0.8984,-0.1172,-0.1562,1.0547,-0.1562
0.5997,1.2268,0.7031,0.2734,0.6250,1.0937,-0.3125,-1.2500,-0.0781,0.9375,-0.1172,-0.1562,1.0156,-0.1562
13.1390,1.1046,0.7422,0.2344,0.6641,1.2109,-0.3125,-1.2109,-0.1172,0.9375,-0.0781,-0.1562,1.0156,-0.1562
11.5579,0.1711,0.6641,0.2734,0.5859,1.2109,-0.3906,-1.1719,-0.1172,0.8594,-0.1562,-0.2344,0.9766,-0.1953
