 Vol  , Cur  ,  X1  ,  Y1  ,  Z1  ,  X2  ,  Y2  ,  Z2  ,  X3  ,  Y3  ,  Z3  ,  X4  ,  Y4  ,  Z4  
4.9612,0.3128,-0.4297,0.9375,0.0391,0.5859,0.8594,0.1562,-0.2734,0.8203,-0.2734,-0.0781,1.0156,-0.3125
5.0157,0.0098,-0.5078,0.8594,-0.0391,0.5078,0.7422,0.0781,-0.3516,0.7813,-0.3516,-0.1172,0.9375,-0.3516
5.0157,1.2366,-0.4688,0.8594,-0.0391,0.5078,0.7813,0.0781,-0.3125,0.7813,-0.3516,-0.1172,0.9375,-0.3516
4.9612,1.2414,-0.5078,0.8594,-0.0391,0.5078,0.7813,0.0781,-0.3125,0.7813,-0.3516,-0.1172,0.9375,-0.3516
5.0157,0.0049,-0.5078,0.8594,-0.0391,0.5078,0.7813,0.0781,-0.3125,0.7813,-0.3125,-0.1172,0.9375,-0.3516
4.9612,0.8504,-0.3906,1.0547,0.1172,0.6250,0.8594,0.1953,-0.2734,0.8594,-0.2734,-0.0391,0.9766,-0.3125
5.0702,0.4594,-0.4688,0.8984,0.0000,0.5078,0.7813,0.0781,-0.3125,0.7813,-0.3125,-0.1172,0.9375,-0.3516
4.9612,0.4252,-0.4688,0.8984,-0.0391,0.5078,0.7422,0.0781,-0.3125,0.7813,-0.3516,-0.1172,0.8984,-0.3516
4.9612,0.9384,-0.3906,1.0156,0.0781,0.6250,0.8984,0.1562,-0.2734,0.8203,-0.3125,-0.0781,0.9375,-0.3516
4.9067,0.3666,-0.4297,0.9766,0.0781,0.6250,0.8594,0.1562,-0.2734,0.8203,-0.3125,-0.1172,0.9375,-0.3516
4.8521,1.0264,-0.3906,1.0156,0.1172,0.6641,0.8984,0.1562,-0.2734,0.7813,-0.3516,-0.1172,0.9375,-0.3516
5.0157,0.8895,-0.4297,0.9766,0.0781,0.5859,0.8594,0.1562,-0.2344,0.8594,-0.2734,-0.0781,0.9375,-0.3516
5.1793,1.0557,-0.4297,0.9375,0.0781,0.5859,0.8203,0.1562,-0.2344,0.8594,-0.3125,-0.0781,0.9766,-0.3125
4.9612,1.2414,-0.3516,1.0547,0.0781,0.5859,0.8203,0.1953,-0.1953,0.8203,-0.3125,-0.1172,0.9766,-0.2734
4.9067,0.8211,-0.4688,0.9375,0.0391,0.5469,0.7813,0.0781,-0.3125,0.8203,-0.3125,-0.0781,0.9375,-0.3125
4.9067,0.1857,-0.4688,0.9375,0.0000,0.5469,0.8203,0.1172,-0.2734,0.8203,-0.2734,-0.0391,1.0547,-0.2734
