428,587,532,430,574,575,540,616,490,500,604,484,busdriver
429,589,530,431,574,573,540,616,489,499,602,485,busdriver
378,556,547,397,547,588,541,615,490,500,604,484,busdriver
377,498,532,374,494,564,540,614,489,500,604,484,busdriver
428,493,492,391,462,534,543,621,492,500,605,484,busdriver
394,499,519,397,467,550,535,612,488,500,603,484,busdriver
376,487,509,381,456,529,539,615,490,500,605,485,busdriver
400,494,521,397,456,506,539,613,485,500,603,483,busdriver
408,500,550,404,446,487,540,616,489,500,604,485,busdriver
434,499,554,424,462,506,539,616,488,502,604,483,busdriver
411,508,526,414,447,521,539,616,489,502,604,483,busdriver
417,478,486,396,438,544,538,615,491,501,604,484,busdriver
386,507,471,394,443,554,538,618,488,499,604,484,busdriver
399,513,471,403,450,599,538,620,493,501,605,482,busdriver
386,505,468,390,459,564,537,617,490,502,605,483,busdriver
401,523,495,397,445,533,539,615,490,502,603,481,busdriver
438,489,568,429,482,512,539,619,487,503,603,484,busdriver
396,512,580,409,479,492,540,616,488,502,603,483,busdriver
438,508,571,426,468,511,539,618,489,500,605,484,busdriver
420,517,499,404,454,534,540,616,488,503,605,484,busdriver
366,513,452,384,457,557,541,609,490,501,603,484,busdriver
378,545,464,416,460,605,540,610,488,501,602,482,busdriver
417,527,454,412,461,589,539,621,488,502,603,483,busdriver
380,519,476,396,448,557,538,616,489,502,604,483,busdriver
437,515,519,418,442,530,539,618,489,500,603,482,busdriver
415,514,521,421,478,537,539,616,491,500,602,484,busdriver
450,536,501,417,475,529,540,617,490,499,604,482,busdriver
383,503,513,406,519,570,543,617,492,501,604,484,busdriver
418,602,519,411,578,573,538,614,491,500,604,483,busdriver
446,517,518,435,577,566,542,614,491,499,602,484,busdriver
433,583,534,434,583,567,540,618,491,500,603,485,busdriver
422,582,530,427,581,564,542,617,491,501,606,484,busdriver
425,584,528,427,583,568,539,615,492,498,602,484,busdriver
471,608,557,557,598,544,499,597,468,525,598,440,handwave
472,611,554,555,600,542,499,597,467,524,597,443,handwave
480,608,552,556,597,542,507,597,465,520,602,443,handwave
463,601,557,562,597,539,503,599,463,521,598,442,handwave
475,607,557,563,595,540,508,596,462,518,599,442,handwave
472,607,555,559,596,541,507,597,462,520,599,441,handwave
471,604,557,558,597,541,506,597,462,521,599,443,handwave
471,605,557,561,596,542,506,597,462,520,598,442,handwave
470,606,558,559,596,543,507,596,462,522,599,441,handwave
418,578,585,596,562,580,507,596,463,521,598,442,handwave
407,538,567,607,490,553,509,597,463,518,600,443,handwave
473,532,534,539,457,593,507,599,462,516,600,450,handwave
466,455,598,524,432,577,510,595,463,518,600,443,handwave
455,469,543,543,443,540,509,597,464,518,607,433,handwave
352,465,523,666,441,494,509,596,463,519,581,437,handwave
482,448,587,515,445,577,506,598,463,520,597,439,handwave
483,435,612,474,441,599,506,597,462,521,598,442,handwave
424,473,530,577,445,508,507,598,463,521,604,442,handwave
367,474,542,642,437,504,504,597,462,521,591,445,handwave
452,445,564,525,437,549,505,596,463,519,597,443,handwave
491,431,576,467,421,578,505,596,463,522,593,442,handwave
419,465,543,584,447,519,506,596,463,524,603,444,handwave
388,452,543,645,438,505,506,597,463,520,597,442,handwave
446,462,555,554,441,546,508,597,463,521,598,442,handwave
526,424,618,445,438,607,508,597,463,522,598,445,handwave
451,465,559,545,439,530,507,598,463,522,600,438,handwave
395,457,546,636,458,502,506,597,464,521,600,443,handwave
368,486,562,617,465,512,507,597,463,521,598,441,handwave
571,415,562,438,435,607,507,597,463,522,594,446,handwave
462,469,573,506,451,556,507,597,463,518,595,442,handwave
397,465,557,639,461,502,507,597,464,521,601,439,handwave
368,472,580,639,435,503,505,596,463,521,599,441,handwave
463,453,556,506,452,564,504,596,463,523,601,439,handwave
497,422,584,509,403,569,504,595,464,521,598,436,handwave
486,439,569,503,460,563,505,597,463,523,596,441,handwave
469,421,566,550,452,575,505,598,464,523,597,439,handwave
448,531,620,575,488,568,507,597,464,524,594,439,handwave
451,635,578,573,624,574,506,598,465,521,599,440,handwave
